대분류,중분류,소분류,항목명 (name),단위 (unit),스텝 (step),포맷 (format),기본차트 (default_chart_type),라벨 (label_tag)
지역전략산업 연계 특성화 ,"산학연계 중점대학 육성 (연구개발, 인력양성, 산학협력)",취업역량 강화 프로그램,현장형 수요 맞춤형 교육과정 참여실적,%,0.1,%.1f,line,프로젝트
지역전략산업 연계 특성화 ,"산학연계 중점대학 육성 (연구개발, 인력양성, 산학협력)",취업역량 강화 프로그램,취업역량 강화 프로그램 참여학생 수 ,명,1,%d,bar,프로젝트
지역전략산업 연계 특성화 ,"산학연계 중점대학 육성 (연구개발, 인력양성, 산학협력)",취업역량 강화 프로그램,취업 활성화를 위한 프로그램 운영 실적 ,건,1,%d,bar,프로젝트
지역전략산업 연계 특성화 ,공유대학 2.0,,지역 공유대학 교육과정 운영 실적,건,1,%d,bar,대학
지역전략산업 연계 특성화 ,공유대학 2.0,,지역 공유대학 교육과정 참여 실적,명,1,%d,bar,대학
지역전략산업 연계 특성화 ,공유대학 2.0,,공유대학 이수자 취업률 ,%,0.1,%.1f,line,대학
지역 연구 특성화,지역연구 중심대학 육성,,협약기관 취업 연계 실적,건,1,%d,bar,프로젝트
지역 연구 특성화,지역연구 중심대학 육성,,내.외부 우수인력의 유입.순환실적,명,1,%d,bar,프로젝트
지역 연구 특성화,지역연구 중심대학 육성,,외부기관과의 협력연구 실적,건,1,%d,bar,프로젝트
지역 연구 특성화,지역연구 중심대학 육성,,지산학연 연구 건수 및 연구비 규모(교수 1인당 연구 건수),건,1,%d,bar,대학
지역 연구 특성화,지역연구 중심대학 육성,,지산학연 연구 건수 및 연구비 규모(교수 1인당 연구비),천원,1000,%d,bar_line,대학
지역 연구 특성화,지역연구 중심대학 육성,,지산학연 연구 기술이전 실적,천원,1000,%d,bar_line,대학
지역 연구 특성화,지역연구 중심대학 육성,,지산학연 연구.개발 지식재산권 실적,건,1,%d,bar,대학
지역 연구 특성화,연구특화 워케이션 클러스터 조성(남해안),,협약기관 취업 연계 실적,건,1,%d,bar,프로젝트
지역 연구 특성화,연구특화 워케이션 클러스터 조성(남해안),,내.외부 우수인력의 유입.순환실적,명,1,%d,bar,프로젝트
지역 연구 특성화,연구특화 워케이션 클러스터 조성(남해안),,외부기관과의 협력연구 실적,건,1,%d,bar,프로젝트
지역 연구 특성화,연구특화 워케이션 클러스터 조성(남해안),,지산학연 연구 건수 및 연구비 규모(교수 1인당 연구 건수),건,1,%d,bar,대학
지역 연구 특성화,연구특화 워케이션 클러스터 조성(남해안),,지산학연 연구 건수 및 연구비 규모(교수 1인당 연구비),천원,1000,%d,bar_line,대학
지역 연구 특성화,연구특화 워케이션 클러스터 조성(남해안),,지산학연 연구 기술이전 실적,천원,1000,%d,bar_line,대학
지역 연구 특성화,연구특화 워케이션 클러스터 조성(남해안),,지산학연 연구.개발 지식재산권 실적,건,1,%d,bar,대학
평생교육 체계 마련,"평생교육 거점대학 육성(권역, 단일형)",경남형 평생교육 공동교육과정 체계 운영,성인학습자 고등교육 참여실적 ,%,0.1,%.1f,line,대학
평생교육 체계 마련,"평생교육 거점대학 육성(권역, 단일형)",경남형 평생교육 공동교육과정 체계 운영,성인친화적 교육과정 개발.운영 실적,%,0.1,%.1f,line,프로젝트
평생교육 체계 마련,"평생교육 거점대학 육성(권역, 단일형)",경남형 평생교육 공동교육과정 체계 운영,성인친화적 교육과정을 통한 인력배출 실적,%,0.1,%.1f,line,프로젝트
평생교육 체계 마련,"평생교육 거점대학 육성(권역, 단일형)",경남형 평생교육 공동교육과정 체계 운영,대학-지역 간 네트워크 구축 및 운영 실적,건,1,%d,bar,대학
평생교육 체계 마련,"평생교육 거점대학 육성(권역, 단일형)",경남형 평생교육 공동교육과정 체계 운영,대학 간 네트워크 구축 및 운영 실적 ,건,1,%d,bar,대학
평생교육 체계 마련,"고등직업교육 거점대학 육성(권역, 단일형)",산업기능인력양성(전문대-시군),거버넌스 구축.운영 추진율 ,%,0.1,%.1f,line,대학
평생교육 체계 마련,"고등직업교육 거점대학 육성(권역, 단일형)",산업기능인력양성(전문대-시군),특화분야 연계 교육과정 개발.운영 성과,%,0.1,%.1f,line,프로젝트
평생교육 체계 마련,"고등직업교육 거점대학 육성(권역, 단일형)",산업기능인력양성(전문대-시군),직업교육 심화과정 이수율 ,%,0.1,%.1f,line,프로젝트
평생교육 체계 마련,"고등직업교육 거점대학 육성(권역, 단일형)",산업기능인력양성(전문대-시군),지역 소재기업 취업률 실적,건,1,%d,bar,프로젝트
평생교육 체계 마련,외국인 유학생 유치,외국인 유학생 유치‧지역정주 원스톱 지원 ,외국인 유학생 유치 실적,명,1,%d,bar,프로젝트
평생교육 체계 마련,외국인 유학생 유치,외국인 유학생 유치‧지역정주 원스톱 지원 ,외국인 유학생 취업.정주 실적,%,0.1,%.1f,line,프로젝트
평생교육 체계 마련,외국인 유학생 유치,외국인 유학생 유치‧지역정주 원스톱 지원 ,산학협력 유학생 역량향상 실적,%,0.1,%.1f,line,프로젝트
평생교육 체계 마련,외국인 유학생 유치,외국인 유학생 유치‧지역정주 원스톱 지원 ,외국인 유학생 취업지원 실적,%,0.1,%.1f,line,프로젝트
평생교육 체계 마련,외국인 유학생 유치,산업인력 공급형 외국인 유학생 지원 ,외국인 유학생 유치 실적,명,1,%d,bar,프로젝트
평생교육 체계 마련,외국인 유학생 유치,산업인력 공급형 외국인 유학생 지원 ,외국인 유학생 취업.정주 실적,%,0.1,%.1f,line,프로젝트
평생교육 체계 마련,외국인 유학생 유치,산업인력 공급형 외국인 유학생 지원 ,산학협력 유학생 역량향상 실적,%,0.1,%.1f,line,프로젝트
평생교육 체계 마련,외국인 유학생 유치,산업인력 공급형 외국인 유학생 지원 ,외국인 유학생 취업지원 실적,%,0.1,%.1f,line,프로젝트
5-창업 및 지역문제 해결,창업교육 거점대학 육성,산업인력 공급형 외국인 유학생 지원 ,학생 및 교원 창업실적(창업 건수) ,건,1,%d,bar,대학
5-창업 및 지역문제 해결,창업교육 거점대학 육성,산업인력 공급형 외국인 유학생 지원 ,학생 및 교원 창업실적(창업기업 수익금) ,천원,1000,%d,bar,대학
5-창업 및 지역문제 해결,창업교육 거점대학 육성,산업인력 공급형 외국인 유학생 지원 ,창업 학점 교류제 참여학생 수 ,명,1,%d,bar,대학
5-창업 및 지역문제 해결,창업교육 거점대학 육성,산업인력 공급형 외국인 유학생 지원 ,창업동아리 참여학생 수 ,명,1,%d,bar,프로젝트
5-창업 및 지역문제 해결,창업교육 거점대학 육성,산업인력 공급형 외국인 유학생 지원 ,대학 간 연계 협력 및 지역사회와의 네트워크 활성화 ,건,1,%d,bar,프로젝트
5-창업 및 지역문제 해결,지역문제 해결 리빙랩 선도대학 육성,시군 연계형 지역문제 해결사업,거버넌스 구축.운영 추진율 ,%,0.1,%.1f,line,대학
5-창업 및 지역문제 해결,지역문제 해결 리빙랩 선도대학 육성,시군 연계형 지역문제 해결사업,대학-지역 간 네트워크 구축 및 운영 실적,건,1,%d,bar,대학
5-창업 및 지역문제 해결,지역문제 해결 리빙랩 선도대학 육성,시군 연계형 지역문제 해결사업,대학-지역 간 프로그램 참여인원 수 ,명,1,%d,bar,프로젝트
5-창업 및 지역문제 해결,지역문제 해결 리빙랩 선도대학 육성,기초학문 등 사회참여 리빙랩 분야,거버넌스 구축.운영 추진율 ,%,0.1,%.1f,line,대학
5-창업 및 지역문제 해결,지역문제 해결 리빙랩 선도대학 육성,기초학문 등 사회참여 리빙랩 분야,대학-지역 간 네트워크 구축 및 운영 실적,건,1,%d,bar,대학
5-창업 및 지역문제 해결,지역문제 해결 리빙랩 선도대학 육성,기초학문 등 사회참여 리빙랩 분야,대학-지역 간 프로그램 참여인원 수 ,명,1,%d,bar,프로젝트
